id,message,created_time,comments_count,shares_count,likes,love_count,haha_count,wow_count,sad_count,angry_count
,疑似有反年改人士混入= =................,8月19日?,160,197,1426,2,35,22,18,606
,各國運動員進場儀式為何只剩下國旗？,8月20日,93,47,1214,7,45,10,1,96
,最狂的撒野老人說話了！大家快一邊吃太陽花一邊聽！,8月20日,752,152,1273,11,610,42,9,1394
,沒有任何一個法案像年金改革法案這麼不堪，沒有任何一個政權像民進黨現在這麼霸道，沒有一個時期台灣人民像現在這樣無奈與無助，夥伴們！站起來吧！親愛的同胞們！你們真的還能容忍這樣子的政權？,5月21日,127,162,3517,8,41,21,19,324
,侯漢廷：這些人說妨礙世大運是王八蛋，但妨礙演唱會是愛台灣？不僅僅是雙重標準，更見證這些人的偽善！,9月24日,321,376,4587,31,465,43,15,226
,就算是20餘人也要站好站挺歐！,6月22日?,536,211,2780,17,1704,186,22,38
,李來希強調，丟臉的不是在世大運鬧場的人民，而是強把人民押到地檢署偵訊的蔡英文政府！,8月23日?,657,116,1068,17,236,22,13,547
,#世大運?雖遭?#反年改團體?鬧場，但《德國之聲》表示，台灣表現「#異常自信」，欲展現具舉辦大型賽事的能力，「這裡的?#民族自豪感?前所未有的高漲，而這不會冒犯任何人，除了中國以外」,8月22日,25,178,2303,84,162,7,2,0
,網友: 必砍政務官18%，取消立委研究費!,6月27日,83,143,2342,4,29,11,8,273
,"【「行程洩漏？」反年改抗議隨行　總統行程喊卡！】
總統下午原本要到新竹湖口參拜，遭到反年改民眾抗議，數度想衝破警方防線，最後顧慮維安，總統行程臨時取消，改由政院發言人徐國勇代替揭匾。",6月26日?,164,142,2020,7,423,26,10,104
,快訊！！李來希遭函送法辦了,4月28日,151,184,1152,57,225,17,2,16
,辛苦了！大家,6月26日,148,57,1948,5,197,14,5,109
,號稱最精良的涼山部隊外圍被衝破了，總統府只好派人收下陳情書...,7月20日,207,144,1598,14,224,10,2,81
,不滿蔡英文年金改革政策 反年改團體喊：夜宿圍城! Part 2,4月18日,1873,149,2428,108,68,19,25,295
,結果還是沒過關.....,6月27日,186,293,1868,14,111,52,38,242
,不滿蔡英文年金改革政策?,4月18日,772,126,1114,71,23,13,21,152
,蔡英文總統已經被不滿的民意嚇傻沒招了，連身邊這些對國家元首宣誓效忠的軍警將士他都能懷疑送去測謊。兩千多年前的孟子都知道：「君之視臣如手足，則臣視君如腹心；君之視臣如犬馬，則臣視君如國人；君之視臣如土芥，則臣視君如寇讎。」蔡英文總統會不知道？,7月22日,166,393,1480,8,314,53,21,259
,上次反年改群眾在立法院追打立委、縣市長事件，立法院外警察的指揮權，和這次世大運的安全維護指揮權，都同樣掌握在台北市政府和市警察局手上。,8月21日,246,96,1348,6,58,24,3,153
,大家要冷靜,6月30日,212,30,1224,27,269,22,6,67
,蘋果日報終於刊登了一張像樣子的照片！,2月12日,48,211,2894,12,5,9,26,80
,身為一個市長，這樣講話好嗎？,8月22日,884,135,6990,75,880,44,14,431
,反年改民眾 如影隨形,7月7日,201,20,1184,9,137,34,8,353
,誰說我們反改革？反對違憲的改革叫做反改革？我們反對的是毀憲亂政的亂改！,5月12日,50,52,1470,18,0,0,0,42
,"詐騙集團的年金改革,我們反對到底!",2月21日,52,185,1648,21,7,11,4,159
,【反制移動人牆　傳反年改「農藥空噴機」突襲】,7月9日,156,137,1891,14,337,92,4,26
,遍地開花，如影隨形，不達目的，絕不終止！,7月12日,35,224,1682,39,18,10,2,29
,"【開幕陰謀論：統獨鬧場沒事、反年改揹黑鍋？】
世大運開幕因陳抗民眾造成選手無法入場，經過兩天，開始有各種說法出爐。",8月22日,70,203,1536,2,101,32,15,228
